"Indicator_type","Data","Note",
"domain","www.polonxap.vip","fake web app site",
"domain","www.polonxg.vip","fake web app site",
"domain","www.psexap.vip","fake web app site",
"domain","www.royalcop.vip","fake web app site",
"domain","www.saexwa.vip","fake web app site",
"domain","www.safepal365-erc.net","fake web app site",
"domain","www.safepalas.com","Fake app download site",
"domain","www.safepalrl.com","Fake app download site",
"domain","www.sconme.vip","fake web app site",
"domain","www.sconwp.vip","fake web app site",
"domain","www.sfpalio.com","Fake app download site",
"domain","www.shejlo.com","fake web app site",
"domain","www.shswapep.vip","fake web app site",
"domain","www.skusdtap.vip","fake web app site",
"domain","www.snmew.com","fake web app site",
"domain","www.snpeac.vip","Fake app download site",
"domain","www.sswapap.vip","fake web app site",
"domain","www.sswapep.vip","fake web app site",
"domain","www.stakewise.net","Fake Android app / website web JSON backend",
"domain","www.starkw.vip","fake web app site",
"domain","www.stidebprom.vip","fake web app site",
"domain","www.susisasr.vip","fake web app site",
"domain","www.tbitap.vip","fake web app site",
"domain","www.tbitz.vip","fake web app site",
"domain","www.tbitz.viplogin","Fake Android app / website web JSON backend",
"domain","www.tdvies.com","Sour Grapes Fake app download site",
"domain","www.tdvieway.vip","Sour Grapes Fake app website",
"domain","www.tdviewwb.com","Sour Grapes fake app webclip",
"domain","www.thbtaxs.vip","fake web app site",
"domain","www.tidebitpros.vip","fake web app site",
"domain","www.tidexwowe.vip","fake web app site",
"domain","www.tkmillp.vip","fake web app site",
"domain","www.tmsfin.com","Fake Android app / website web JSON backend",
"domain","www.toroenh.com","fake web app site",
